year,crime_lvl1,crime_lvl2,crime_lvl3,group,detail,count
2023,합계,소계,소계,합계,소계,1360807
2023,형법범,소계,소계,합계,소계,799599
2023,형법범,재산범죄,소계,합계,소계,375192
2023,형법범,재산범죄,절도,합계,소계,101479
2023,형법범,재산범죄,장물,합계,소계,706
2023,형법범,재산범죄,사기,합계,소계,194162
2023,형법범,재산범죄,횡령,합계,소계,35325
2023,형법범,재산범죄,배임,합계,소계,7305
2023,형법범,재산범죄,손괴,합계,소계,36215
2023,형법범,강력범죄(흉악),소계,합계,소계,40268
2023,형법범,강력범죄(흉악),살인,합계,소계,835
2023,형법범,강력범죄(흉악),강도,합계,소계,958
2023,형법범,강력범죄(흉악),방화,합계,소계,1081
2023,형법범,강력범죄(흉악),성폭력,합계,소계,37394
2023,형법범,강력범죄(폭력),소계,합계,소계,232896
2023,형법범,강력범죄(폭력),폭행,합계,소계,158999
2023,형법범,강력범죄(폭력),상해,합계,소계,32817
2023,형법범,강력범죄(폭력),협박,합계,소계,24747
2023,형법범,강력범죄(폭력),공갈,합계,소계,8471
2023,형법범,강력범죄(폭력),약취와유인,합계,소계,434
2023,형법범,강력범죄(폭력),체포와감금,합계,소계,2033
2023,형법범,강력범죄(폭력),폭력행위등(손괴강요주거침입등),합계,소계,4766
2023,형법범,강력범죄(폭력),폭력행위등(단체등의구성?활동),합계,소계,629
2023,형법범,위조범죄,소계,합계,소계,14698
2023,형법범,위조범죄,통화,합계,소계,65
2023,형법범,위조범죄,유가증권·인지·우표,합계,소계,93
2023,형법범,위조범죄,문서,합계,소계,14018
2023,형법범,위조범죄,인장,합계,소계,522
2023,형법범,공무원범죄,소계,합계,소계,5150
2023,형법범,공무원범죄,직무유기,합계,소계,1755
2023,형법범,공무원범죄,직권남용,합계,소계,2453
2023,형법범,공무원범죄,수뢰,합계,소계,678
2023,형법범,공무원범죄,증뢰,합계,소계,264
2023,형법범,풍속범죄,소계,합계,소계,17026
2023,형법범,풍속범죄,도박과복표,합계,소계,14646
2023,형법범,풍속범죄,신앙,합계,소계,361
2023,형법범,풍속범죄,기타음란행위,합계,소계,2019
2023,형법범,과실범죄,소계,합계,소계,11213
2023,형법범,과실범죄,과실치사상,합계,소계,2796
2023,형법범,과실범죄,업무상과실치사상,합계,소계,6280
2023,형법범,과실범죄,실화,합계,소계,2137
2023,형법범,기타형법범죄,소계,합계,소계,103156
2023,형법범,기타형법범죄,명예,합계,소계,35918
2023,형법범,기타형법범죄,권리행사방해,합계,소계,6195
2023,형법범,기타형법범죄,신용업무경매,합계,소계,22637
2023,형법범,기타형법범죄,주거침입,합계,소계,14348
2023,형법범,기타형법범죄,비밀침해,합계,소계,119
2023,형법범,기타형법범죄,유기,합계,소계,366
2023,형법범,기타형법범죄,교통방해,합계,소계,1473
2023,형법범,기타형법범죄,공무방해,합계,소계,12198
2023,형법범,기타형법범죄,도주와범인은닉,합계,소계,612
2023,형법범,기타형법범죄,위증과증거인멸,합계,소계,2393
2023,형법범,기타형법범죄,무고,합계,소계,5850
2023,형법범,기타형법범죄,공안을해하는죄,합계,소계,984
2023,형법범,기타형법범죄,내란의죄,합계,소계,16
2023,형법범,기타형법범죄,음용수에관한죄,합계,소계,27
2023,형법범,기타형법범죄,일수와수리에관한죄,합계,소계,9
2023,형법범,기타형법범죄,기타,합계,소계,11
2023,특별법범,소계,소계,합계,소계,561208
2023,특별법범,가정폭력범죄의처벌등에관한특례법,소계,합계,소계,1242
2023,특별법범,가축분뇨의관리및이용에관한법률,소계,합계,소계,711
2023,특별법범,감염병의예방및관리에관한법률,소계,합계,소계,5239
2023,특별법범,개발제한구역의지정및관리에관한특별조치법,소계,합계,소계,391
2023,특별법범,개인정보보호법,소계,합계,소계,3159
2023,특별법범,건강기능식품에관한법률,소계,합계,소계,214
2023,특별법범,건설기계관리법,소계,합계,소계,311
2023,특별법범,건설산업기본법,소계,합계,소계,1555
2023,특별법범,건축법,소계,합계,소계,2351
2023,특별법범,게임산업진흥에관한법률,소계,합계,소계,4098
2023,특별법범,결혼중개업의관리에관한법률,소계,합계,소계,81
2023,특별법범,경범죄처벌법,소계,합계,소계,8318
2023,특별법범,고용보험법,소계,합계,소계,4648
2023,특별법범,공유수면관리및매립에관한법률,소계,합계,소계,186
2023,특별법범,공유재산및물품관리법,소계,합계,소계,87
2023,특별법범,공인중개사법,소계,합계,소계,3712
2023,특별법범,공중위생관리법,소계,합계,소계,1982
2023,특별법범,공직선거법,소계,합계,소계,159
2023,특별법범,관세법,소계,합계,소계,572
2023,특별법범,교통사고처리특례법,소계,합계,소계,71716
2023,특별법범,국가기술자격법,소계,합계,소계,108
2023,특별법범,국가보안법,소계,합계,소계,64
2023,특별법범,국민체육진흥법,소계,합계,소계,258
2023,특별법범,국토의계획및이용에관한법률,소계,합계,소계,1735
2023,특별법범,근로기준법,소계,합계,소계,22616
2023,특별법범,근로자퇴직급여보장법,소계,합계,소계,4156
2023,특별법범,낚시관리및육성법,소계,합계,소계,132
2023,특별법범,노동조합및노동관계조정법,소계,합계,소계,568
2023,특별법범,농수산물유통및가격안정에관한법률,소계,합계,소계,151
2023,특별법범,농수산물의원산지표시등에관한법률,소계,합계,소계,2160
2023,특별법범,농지법,소계,합계,소계,1091
2023,특별법범,대기환경보전법,소계,합계,소계,2586
2023,특별법범,대부업등의등록및금융이용자보호에관한법률,소계,합계,소계,1353
2023,특별법범,도로교통법,소계,합계,소계,9879
2023,특별법범,도로교통법(무면허운전),소계,합계,소계,21136
2023,특별법범,도로교통법(사고후미조치),소계,합계,소계,6026
2023,특별법범,도로교통법(음주운전),소계,합계,소계,101736
2023,특별법범,도로교통법(음주측정거부),소계,합계,소계,3498
2023,특별법범,도로법,소계,합계,소계,7780
2023,특별법범,도시및주거환경정비법,소계,합계,소계,921
2023,특별법범,독점규제및공정거래에관한법률,소계,합계,소계,30
2023,특별법범,디자인보호법,소계,합계,소계,125
2023,특별법범,마약류관리에관한법률(대마),소계,합계,소계,2382
2023,특별법범,마약류관리에관한법률(마약),소계,합계,소계,3821
2023,특별법범,마약류관리에관한법률(향정),소계,합계,소계,13433
2023,특별법범,물환경보전법,소계,합계,소계,626
2023,특별법범,배타적경제수역에서의외국인어업등에관한주권적권리의행사에관한법률,소계,합계,소계,75
2023,특별법범,범죄수익은닉의규제및처벌등에관한법률,소계,합계,소계,890
2023,특별법범,변호사법,소계,합계,소계,427
2023,특별법범,병역법,소계,합계,소계,4866
2023,특별법범,보조금관리에관한법률,소계,합계,소계,1749
2023,특별법범,부동산실권리자명의등기에관한법률,소계,합계,소계,902
