crime_major,crime_minor,education,count
강력범죄,살인기수,불취학,6
강력범죄,살인미수등,불취학,13
강력범죄,강도,불취학,12
강력범죄,강간,불취학,14
강력범죄,유사강간,불취학,3
강력범죄,강제추행,불취학,95
강력범죄,기타 강간 강제추행등,불취학,1
강력범죄,방화,불취학,22
절도범죄,절도,불취학,2483
폭력범죄,상해,불취학,402
폭력범죄,폭행,불취학,857
폭력범죄,체포 감금,불취학,5
폭력범죄,협박,불취학,132
폭력범죄,약취 유인,불취학,1
폭력범죄,폭력행위등,불취학,61
폭력범죄,공갈,불취학,2
폭력범죄,손괴,불취학,363
지능범죄,직무유기,불취학,0
지능범죄,직권남용,불취학,1
지능범죄,증수뢰,불취학,0
지능범죄,통화,불취학,0
지능범죄,문서 인장,불취학,24
지능범죄,유가증권인지,불취학,0
지능범죄,사기,불취학,306
지능범죄,횡령,불취학,395
지능범죄,배임,불취학,5
풍속범죄,성풍속범죄,불취학,34
풍속범죄,도박범죄,불취학,145
강력범죄,살인기수,초등학교(재중),0
강력범죄,살인미수등,초등학교(재중),0
강력범죄,강도,초등학교(재중),0
강력범죄,강간,초등학교(재중),0
강력범죄,유사강간,초등학교(재중),0
강력범죄,강제추행,초등학교(재중),3
강력범죄,기타 강간 강제추행등,초등학교(재중),1
강력범죄,방화,초등학교(재중),0
절도범죄,절도,초등학교(재중),46
폭력범죄,상해,초등학교(재중),5
폭력범죄,폭행,초등학교(재중),7
폭력범죄,체포 감금,초등학교(재중),0
폭력범죄,협박,초등학교(재중),1
폭력범죄,약취 유인,초등학교(재중),0
폭력범죄,폭력행위등,초등학교(재중),10
폭력범죄,공갈,초등학교(재중),0
폭력범죄,손괴,초등학교(재중),0
지능범죄,직무유기,초등학교(재중),0
지능범죄,직권남용,초등학교(재중),0
지능범죄,증수뢰,초등학교(재중),0
지능범죄,통화,초등학교(재중),0
지능범죄,문서 인장,초등학교(재중),2
지능범죄,유가증권인지,초등학교(재중),0
지능범죄,사기,초등학교(재중),12
지능범죄,횡령,초등학교(재중),3
지능범죄,배임,초등학교(재중),0
풍속범죄,성풍속범죄,초등학교(재중),4
풍속범죄,도박범죄,초등학교(재중),1
강력범죄,살인기수,초등학교(중퇴),8
강력범죄,살인미수등,초등학교(중퇴),10
강력범죄,강도,초등학교(중퇴),8
강력범죄,강간,초등학교(중퇴),35
강력범죄,유사강간,초등학교(중퇴),10
강력범죄,강제추행,초등학교(중퇴),174
강력범죄,기타 강간 강제추행등,초등학교(중퇴),6
강력범죄,방화,초등학교(중퇴),29
절도범죄,절도,초등학교(중퇴),2697
폭력범죄,상해,초등학교(중퇴),539
폭력범죄,폭행,초등학교(중퇴),1218
폭력범죄,체포 감금,초등학교(중퇴),6
폭력범죄,협박,초등학교(중퇴),221
폭력범죄,약취 유인,초등학교(중퇴),5
폭력범죄,폭력행위등,초등학교(중퇴),71
폭력범죄,공갈,초등학교(중퇴),7
폭력범죄,손괴,초등학교(중퇴),472
지능범죄,직무유기,초등학교(중퇴),1
지능범죄,직권남용,초등학교(중퇴),0
지능범죄,증수뢰,초등학교(중퇴),1
지능범죄,통화,초등학교(중퇴),2
지능범죄,문서 인장,초등학교(중퇴),27
지능범죄,유가증권인지,초등학교(중퇴),0
지능범죄,사기,초등학교(중퇴),576
지능범죄,횡령,초등학교(중퇴),461
지능범죄,배임,초등학교(중퇴),7
풍속범죄,성풍속범죄,초등학교(중퇴),70
풍속범죄,도박범죄,초등학교(중퇴),271
강력범죄,살인기수,초등학교(졸업),17
강력범죄,살인미수등,초등학교(졸업),30
강력범죄,강도,초등학교(졸업),27
강력범죄,강간,초등학교(졸업),96
강력범죄,유사강간,초등학교(졸업),22
강력범죄,강제추행,초등학교(졸업),594
강력범죄,기타 강간 강제추행등,초등학교(졸업),14
강력범죄,방화,초등학교(졸업),85
절도범죄,절도,초등학교(졸업),7428
폭력범죄,상해,초등학교(졸업),2179
폭력범죄,폭행,초등학교(졸업),5089
폭력범죄,체포 감금,초등학교(졸업),29
폭력범죄,협박,초등학교(졸업),839
폭력범죄,약취 유인,초등학교(졸업),6
폭력범죄,폭력행위등,초등학교(졸업),359
폭력범죄,공갈,초등학교(졸업),29
폭력범죄,손괴,초등학교(졸업),1729
지능범죄,직무유기,초등학교(졸업),0
지능범죄,직권남용,초등학교(졸업),0
지능범죄,증수뢰,초등학교(졸업),4
지능범죄,통화,초등학교(졸업),3
지능범죄,문서 인장,초등학교(졸업),193
지능범죄,유가증권인지,초등학교(졸업),2
지능범죄,사기,초등학교(졸업),3079
지능범죄,횡령,초등학교(졸업),1544
지능범죄,배임,초등학교(졸업),55
풍속범죄,성풍속범죄,초등학교(졸업),232
풍속범죄,도박범죄,초등학교(졸업),1355
강력범죄,살인기수,중학교(재중),0
강력범죄,살인미수등,중학교(재중),2
강력범죄,강도,중학교(재중),85
강력범죄,강간,중학교(재중),69
강력범죄,유사강간,중학교(재중),18
강력범죄,강제추행,중학교(재중),197
강력범죄,기타 강간 강제추행등,중학교(재중),13
강력범죄,방화,중학교(재중),35
절도범죄,절도,중학교(재중),6491
폭력범죄,상해,중학교(재중),318
폭력범죄,폭행,중학교(재중),748
폭력범죄,체포 감금,중학교(재중),14
폭력범죄,협박,중학교(재중),138
폭력범죄,약취 유인,중학교(재중),6
폭력범죄,폭력행위등,중학교(재중),1321
폭력범죄,공갈,중학교(재중),250
폭력범죄,손괴,중학교(재중),242
지능범죄,직무유기,중학교(재중),0
지능범죄,직권남용,중학교(재중),0
지능범죄,증수뢰,중학교(재중),0
지능범죄,통화,중학교(재중),0
지능범죄,문서 인장,중학교(재중),71
지능범죄,유가증권인지,중학교(재중),0
지능범죄,사기,중학교(재중),1137
지능범죄,횡령,중학교(재중),259
지능범죄,배임,중학교(재중),0
풍속범죄,성풍속범죄,중학교(재중),502
풍속범죄,도박범죄,중학교(재중),5
강력범죄,살인기수,중학교(중퇴),17
강력범죄,살인미수등,중학교(중퇴),17
강력범죄,강도,중학교(중퇴),28
강력범죄,강간,중학교(중퇴),77
강력범죄,유사강간,중학교(중퇴),6
강력범죄,강제추행,중학교(중퇴),211
강력범죄,기타 강간 강제추행등,중학교(중퇴),2
강력범죄,방화,중학교(중퇴),27
절도범죄,절도,중학교(중퇴),2197
폭력범죄,상해,중학교(중퇴),829
폭력범죄,폭행,중학교(중퇴),1999
폭력범죄,체포 감금,중학교(중퇴),18
폭력범죄,협박,중학교(중퇴),361
폭력범죄,약취 유인,중학교(중퇴),0
폭력범죄,폭력행위등,중학교(중퇴),338
폭력범죄,공갈,중학교(중퇴),55
폭력범죄,손괴,중학교(중퇴),658
지능범죄,직무유기,중학교(중퇴),0
지능범죄,직권남용,중학교(중퇴),0
지능범죄,증수뢰,중학교(중퇴),3
지능범죄,통화,중학교(중퇴),0
지능범죄,문서 인장,중학교(중퇴),87
지능범죄,유가증권인지,중학교(중퇴),0
지능범죄,사기,중학교(중퇴),2041
지능범죄,횡령,중학교(중퇴),416
지능범죄,배임,중학교(중퇴),11
풍속범죄,성풍속범죄,중학교(중퇴),127
풍속범죄,도박범죄,중학교(중퇴),355
강력범죄,살인기수,중학교(졸업),28
강력범죄,살인미수등,중학교(졸업),46
강력범죄,강도,중학교(졸업),75
강력범죄,강간,중학교(졸업),227
강력범죄,유사강간,중학교(졸업),44
강력범죄,강제추행,중학교(졸업),757
강력범죄,기타 강간 강제추행등,중학교(졸업),20
강력범죄,방화,중학교(졸업),120
절도범죄,절도,중학교(졸업),7674
폭력범죄,상해,중학교(졸업),3562
폭력범죄,폭행,중학교(졸업),8389
폭력범죄,체포 감금,중학교(졸업),69
폭력범죄,협박,중학교(졸업),1328
폭력범죄,약취 유인,중학교(졸업),14
