crime_major,crime_minor,prior_record,count
강력범죄,살인기수,없음,87
강력범죄,살인미수등,없음,127
강력범죄,강도,없음,310
강력범죄,강간,없음,1573
강력범죄,유사강간,없음,331
강력범죄,강제추행,없음,5043
강력범죄,기타 강간 강제추행등,없음,92
강력범죄,방화,없음,255
절도범죄,절도,없음,33627
폭력범죄,상해,없음,10668
폭력범죄,폭행,없음,28276
폭력범죄,체포 감금,없음,267
폭력범죄,협박,없음,4004
폭력범죄,약취 유인,없음,63
폭력범죄,폭력행위등,없음,8464
폭력범죄,공갈,없음,847
폭력범죄,손괴,없음,8695
지능범죄,직무유기,없음,70
지능범죄,직권남용,없음,112
지능범죄,증수뢰,없음,215
지능범죄,통화,없음,6
지능범죄,문서 인장,없음,2705
지능범죄,유가증권인지,없음,6
지능범죄,사기,없음,35135
지능범죄,횡령,없음,7933
지능범죄,배임,없음,810
풍속범죄,성풍속범죄,없음,6871
풍속범죄,도박범죄,없음,5484
강력범죄,살인기수,전과(1범),33
강력범죄,살인미수등,전과(1범),45
강력범죄,강도,전과(1범),126
강력범죄,강간,전과(1범),599
강력범죄,유사강간,전과(1범),101
강력범죄,강제추행,전과(1범),1928
강력범죄,기타 강간 강제추행등,전과(1범),41
강력범죄,방화,전과(1범),138
절도범죄,절도,전과(1범),11822
폭력범죄,상해,전과(1범),4985
폭력범죄,폭행,전과(1범),13404
폭력범죄,체포 감금,전과(1범),131
폭력범죄,협박,전과(1범),2020
폭력범죄,약취 유인,전과(1범),34
폭력범죄,폭력행위등,전과(1범),2786
폭력범죄,공갈,전과(1범),287
폭력범죄,손괴,전과(1범),4258
지능범죄,직무유기,전과(1범),10
지능범죄,직권남용,전과(1범),18
지능범죄,증수뢰,전과(1범),98
지능범죄,통화,전과(1범),2
지능범죄,문서 인장,전과(1범),915
지능범죄,유가증권인지,전과(1범),5
지능범죄,사기,전과(1범),15729
지능범죄,횡령,전과(1범),3075
지능범죄,배임,전과(1범),394
풍속범죄,성풍속범죄,전과(1범),1532
풍속범죄,도박범죄,전과(1범),2850
강력범죄,살인기수,전과(2범),19
강력범죄,살인미수등,전과(2범),29
강력범죄,강도,전과(2범),93
강력범죄,강간,전과(2범),374
강력범죄,유사강간,전과(2범),59
강력범죄,강제추행,전과(2범),1280
강력범죄,기타 강간 강제추행등,전과(2범),30
강력범죄,방화,전과(2범),97
절도범죄,절도,전과(2범),7663
폭력범죄,상해,전과(2범),3789
폭력범죄,폭행,전과(2범),9638
폭력범죄,체포 감금,전과(2범),103
폭력범죄,협박,전과(2범),1553
폭력범죄,약취 유인,전과(2범),13
폭력범죄,폭력행위등,전과(2범),1783
폭력범죄,공갈,전과(2범),201
폭력범죄,손괴,전과(2범),3183
지능범죄,직무유기,전과(2범),7
지능범죄,직권남용,전과(2범),5
지능범죄,증수뢰,전과(2범),58
지능범죄,통화,전과(2범),0
지능범죄,문서 인장,전과(2범),579
지능범죄,유가증권인지,전과(2범),5
지능범죄,사기,전과(2범),11418
