crime,recid_type,period,count
절도,동종재범,1개월이내,2526
장물,동종재범,1개월이내,22
사기,동종재범,1개월이내,2863
횡령,동종재범,1개월이내,79
배임,동종재범,1개월이내,3
손괴,동종재범,1개월이내,166
살인,동종재범,1개월이내,3
강도,동종재범,1개월이내,25
방화,동종재범,1개월이내,3
성폭력,동종재범,1개월이내,66
폭행,동종재범,1개월이내,787
상해,동종재범,1개월이내,463
협박,동종재범,1개월이내,84
공갈,동종재범,1개월이내,101
약취와 유인,동종재범,1개월이내,0
체포와 감금,동종재범,1개월이내,9
"폭력행위등(손괴,강요,주거침입등)",동종재범,1개월이내,18
폭력행위 등(단체 등의 구성ㆍ활동),동종재범,1개월이내,1
통화,동종재범,1개월이내,2
유가증권ㆍ인지ㆍ우표,동종재범,1개월이내,8
문서,동종재범,1개월이내,76
인장,동종재범,1개월이내,0
직무유기,동종재범,1개월이내,0
직권남용,동종재범,1개월이내,0
수뢰,동종재범,1개월이내,1
증뢰,동종재범,1개월이내,0
도박과 복표,동종재범,1개월이내,46
신앙,동종재범,1개월이내,0
기타 음란행위,동종재범,1개월이내,15
과실치사상,동종재범,1개월이내,1
업무상 과실치사상,동종재범,1개월이내,2
실화,동종재범,1개월이내,0
명예,동종재범,1개월이내,50
권리행사 방해,동종재범,1개월이내,10
신용업무 경매,동종재범,1개월이내,219
주거 침입,동종재범,1개월이내,53
비밀침해,동종재범,1개월이내,0
유기,동종재범,1개월이내,2
교통방해,동종재범,1개월이내,3
공무방해,동종재범,1개월이내,83
도주와 범인 은닉,동종재범,1개월이내,1
위증과 증거인멸,동종재범,1개월이내,0
무고,동종재범,1개월이내,0
공안을 해하는 죄,동종재범,1개월이내,0
음용수에 관한 죄,동종재범,1개월이내,0
일수와 수리에 관한 죄,동종재범,1개월이내,0
기타,동종재범,1개월이내,0
가정폭력범죄의 처벌 등에 관한 특례법,동종재범,1개월이내,4
가축분뇨의관리및이용에관한법률,동종재범,1개월이내,1
감염병의예방및관리에관한법률,동종재범,1개월이내,1
개발제한구역의 지정 및 관리에 관한 특별조치법,동종재범,1개월이내,3
개인정보보호법,동종재범,1개월이내,1
건강기능식품에관한법률,동종재범,1개월이내,4
건설기계 관리법,동종재범,1개월이내,0
건설산업 기본법,동종재범,1개월이내,15
건축법,동종재범,1개월이내,9
게임산업진흥에관한법률,동종재범,1개월이내,105
결혼중개업의관리에관한법률,동종재범,1개월이내,1
경범죄처벌법,동종재범,1개월이내,48
고용보험법,동종재범,1개월이내,2
공유수면관리및매립에관한법률,동종재범,1개월이내,2
공유재산및물품관리법,동종재범,1개월이내,0
공인중개사법,동종재범,1개월이내,1
공중위생관리법,동종재범,1개월이내,9
공직선거법,동종재범,1개월이내,1
관세법,동종재범,1개월이내,0
교통사고 처리특례법,동종재범,1개월이내,191
국가기술자격법,동종재범,1개월이내,0
국가보안법,동종재범,1개월이내,1
국민체육진흥법,동종재범,1개월이내,1
국토의계획및이용에관한법률,동종재범,1개월이내,6
근로기준법,동종재범,1개월이내,28
근로자퇴직급여보장법,동종재범,1개월이내,8
낚시관리및육성법,동종재범,1개월이내,3
노동조합 및 노동관계조정법,동종재범,1개월이내,0
농수산물유통 및 가격안정에 관한법률,동종재범,1개월이내,0
농수산물의원산지표시에관한법률,동종재범,1개월이내,0
농지법,동종재범,1개월이내,0
대기환경보전법,동종재범,1개월이내,1
대부업등의등록및금융이용자보호에관한법률,동종재범,1개월이내,9
도로교통법,동종재범,1개월이내,43
도로교통법(무면허운전),동종재범,1개월이내,517
도로교통법(사고후미조치),동종재범,1개월이내,31
도로교통법(음주운전),동종재범,1개월이내,524
도로교통법(음주측정거부),동종재범,1개월이내,17
도로법,동종재범,1개월이내,10
도시및주거환경정비법,동종재범,1개월이내,1
독점규제 및 공정거래에 관한법률,동종재범,1개월이내,0
디자인보호법,동종재범,1개월이내,0
마약류관리에 관한 법률(대마),동종재범,1개월이내,4
마약류관리에 관한 법률(마약),동종재범,1개월이내,0
마약류관리에 관한 법률(향정),동종재범,1개월이내,73
물환경보전법,동종재범,1개월이내,0
배타적경제수역에서의 외국인어업등에 관한 주권적권리의 행사에 관한법률,동종재범,1개월이내,2
범죄수익은닉의 규제 및 처벌 등에 관한법률,동종재범,1개월이내,0
변호사법,동종재범,1개월이내,0
병역법,동종재범,1개월이내,5
보조금관리에관한법률,동종재범,1개월이내,4
부동산 실권리자 명의등기에 관한법률,동종재범,1개월이내,0
부정경쟁방지 및 영업비밀보호에 관한법률,동종재범,1개월이내,1
부정수표단속법,동종재범,1개월이내,6
사행행위 등 규제 및 처벌특례법,동종재범,1개월이내,1
산림자원의조성및관리에관한법률,동종재범,1개월이내,0
산업안전보건법,동종재범,1개월이내,1
산지관리법,동종재범,1개월이내,0
상표법,동종재범,1개월이내,10
석유및석유대체연료사업법,동종재범,1개월이내,6
선박안전법,동종재범,1개월이내,2
선박직원법,동종재범,1개월이내,0
성매매알선등행위의처벌에관한법률,동종재범,1개월이내,111
수도법,동종재범,1개월이내,0
수산업법,동종재범,1개월이내,3
수산자원관리법,동종재범,1개월이내,2
식품위생법,동종재범,1개월이내,50
신용정보의 이용 및 보호에 관한법률,동종재범,1개월이내,0
아동·청소년의성보호에관한법률(성매수등),동종재범,1개월이내,16
아동·청소년의성보호에관한법률(음란물등),동종재범,1개월이내,2
아동복지법,동종재범,1개월이내,9
액화석유가스의 안전관리 및 사업법,동종재범,1개월이내,2
약사법,동종재범,1개월이내,3
여객자동차운수사업법,동종재범,1개월이내,46
여신전문금융업법,동종재범,1개월이내,8
영유아보육법,동종재범,1개월이내,0
예비군법,동종재범,1개월이내,75
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,동종재범,1개월이내,8
외국환거래법,동종재범,1개월이내,1
위험물안전관리법,동종재범,1개월이내,0
유사 수신행위의 규제에 관한법률,동종재범,1개월이내,13
의료기기법,동종재범,1개월이내,0
의료법,동종재범,1개월이내,10
자동차관리법,동종재범,1개월이내,47
자동차손해배상보장법,동종재범,1개월이내,163
자본시장과금융투자업에관한법률,동종재범,1개월이내,0
저작권법,동종재범,1개월이내,100
전자금융거래법,동종재범,1개월이내,95
전파법,동종재범,1개월이내,0
정보통신망이용촉진 및 정보보호 등에 관한법률,동종재범,1개월이내,53
조세범 처벌법,동종재범,1개월이내,7
주민등록법,동종재범,1개월이내,12
주차장법,동종재범,1개월이내,1
주택법,동종재범,1개월이내,2
직업안정법,동종재범,1개월이내,3
집회 및 시위에 관한법률,동종재범,1개월이내,3
청소년보호법,동종재범,1개월이내,32
총포·도검·화약류등의 안전관리에 관한법률,동종재범,1개월이내,0
최저임금법,동종재범,1개월이내,0
축산물위생관리법,동종재범,1개월이내,2
출입국관리법,동종재범,1개월이내,2
통신비밀보호법,동종재범,1개월이내,0
특가법(도주차량),동종재범,1개월이내,10
