범죄대분류,범죄중분류,없음,전과(1범),전과(2범),전과(3범),전과(4범),전과(5범),전과(6범),전과(7범),전과(8범),전과(9범이상),미상
강력범죄,살인기수,87,33,19,9,20,11,9,8,3,51,91
강력범죄,살인미수등,127,45,29,19,23,17,15,13,10,74,82
강력범죄,강도,310,126,93,73,55,39,29,32,22,276,147
강력범죄,강간,1573,599,374,244,189,149,111,101,64,530,2179
강력범죄,유사강간,331,101,59,42,34,25,17,17,6,78,224
강력범죄,강제추행,5043,1928,1280,864,658,546,416,387,252,1575,3433
강력범죄,기타 강간 강제추행등,92,41,30,27,17,11,7,9,6,49,60
강력범죄,방화,255,138,97,86,66,57,49,37,29,235,147
절도범죄,절도,33627,11822,7663,5489,4113,3332,2662,2281,1792,15511,10133
폭력범죄,상해,10668,4985,3789,3100,2340,2025,1653,1325,1092,8282,4293
폭력범죄,폭행,28276,13404,9638,7830,5975,4946,3894,3176,2488,18909,79912
폭력범죄,체포 감금,267,131,103,67,47,42,45,31,26,217,719
폭력범죄,협박,4004,2020,1553,1194,1040,831,682,564,409,3096,7114
폭력범죄,약취 유인,63,34,13,12,2,8,1,3,3,41,116
폭력범죄,폭력행위등,8464,2786,1783,1336,937,794,591,462,431,2809,4949
폭력범죄,공갈,847,287,201,124,92,99,78,67,50,474,1115
폭력범죄,손괴,8695,4258,3183,2487,1927,1607,1258,997,865,6092,7347
지능범죄,직무유기,70,10,7,1,0,0,0,0,0,1,858
지능범죄,직권남용,112,18,5,0,0,0,0,0,0,2,884
지능범죄,증수뢰,215,98,58,37,25,16,11,7,9,50,281
지능범죄,통화,6,2,0,5,1,0,1,4,2,7,58
지능범죄,문서 인장,2705,915,579,468,352,257,202,187,152,1145,8503
지능범죄,유가증권인지,6,5,5,2,0,4,1,1,3,18,72
지능범죄,사기,35135,15729,11418,9425,7054,6214,4903,4222,3379,33669,113861
지능범죄,횡령,7933,3075,1984,1431,1076,880,741,555,398,3030,14827
지능범죄,배임,810,394,238,202,125,104,84,58,40,266,6003
풍속범죄,성풍속범죄,6871,1532,835,541,374,251,210,157,130,784,1861
풍속범죄,도박범죄,5484,2850,2193,1805,1285,1063,782,660,527,2768,1708
