범죄분류,동종재범_1개월이내,동종재범_3개월이내,동종재범_6개월이내,동종재범_1년이내,동종재범_2년이내,동종재범_3년이내,동종재범_3년초과,이종재범_1개월이내,이종재범_3개월이내,이종재범_6개월이내,이종재범_1년이내,이종재범_2년이내,이종재범_3년이내,이종재범_3년초과
절도,2526,2881,2623,6624,3146,2583,4281,1306,1878,2039,5688,3573,3546,16801
장물,22,40,33,98,57,55,109,38,62,75,202,123,180,639
사기,2863,3316,3161,10777,3282,3926,5729,1196,1928,2274,10210,5380,6453,23380
횡령,79,136,145,524,200,235,450,203,308,387,1780,1021,1245,5916
배임,3,8,7,46,14,27,36,12,27,43,249,144,203,1206
손괴,166,265,259,758,454,424,735,329,669,868,2989,2182,2178,9587
살인,3,2,7,13,5,8,22,7,13,24,86,58,49,220
강도,25,37,24,66,28,26,54,32,51,86,168,112,99,222
방화,3,8,8,16,12,11,23,29,41,42,116,97,88,342
성폭력,66,100,111,380,304,259,568,259,424,591,2038,1422,1482,6829
폭행,787,1657,1759,5440,3442,3092,8336,882,2037,2718,9163,7137,7385,32462
상해,463,938,1045,3221,2023,1915,5297,502,1135,1395,4983,3884,3822,16581
협박,84,97,106,306,169,142,311,159,291,346,1230,860,921,4250
공갈,101,99,79,233,91,73,67,105,176,169,534,248,223,677
약취와 유인,0,0,1,3,4,5,5,2,8,8,25,10,7,48
체포와 감금,9,22,14,52,24,23,33,22,53,59,203,110,119,399
"폭력행위등(손괴,강요,주거침입등)",18,35,80,66,23,25,47,28,41,58,170,123,96,459
폭력행위 등(단체 등의 구성ㆍ활동),1,18,14,50,21,70,24,1,13,13,111,50,44,63
통화,2,0,2,2,0,1,4,0,2,5,17,13,23,47
유가증권ㆍ인지ㆍ우표,8,1,2,17,0,6,5,0,2,7,18,18,18,39
문서,76,114,99,370,112,122,147,108,142,158,733,386,413,1751
인장,0,1,2,11,4,4,7,6,6,10,33,22,30,146
직무유기,0,0,0,0,0,0,0,0,0,1,3,1,1,25
직권남용,0,0,0,1,0,0,2,0,0,0,2,3,1,45
수뢰,1,0,0,8,14,5,6,5,2,5,34,13,24,229
증뢰,0,0,2,1,0,1,10,1,2,3,31,15,28,133
도박과 복표,46,136,174,739,549,622,2229,130,222,321,1388,1182,1282,7653
신앙,0,1,1,4,3,1,2,0,3,2,17,8,13,65
기타 음란행위,15,31,25,98,61,50,93,28,60,67,200,131,129,568
과실치사상,1,2,6,7,5,5,38,12,17,24,92,80,83,520
업무상 과실치사상,2,2,8,32,19,20,78,14,45,49,221,177,211,1591
실화,0,0,1,4,3,0,6,18,19,30,98,99,87,772
명예,50,55,92,310,141,130,210,138,215,272,1282,882,981,4753
권리행사 방해,10,13,20,85,26,31,57,46,101,123,760,370,551,1837
신용업무 경매,219,370,399,1218,649,492,745,245,453,639,1990,1578,1752,6531
주거 침입,53,71,68,207,104,79,167,112,204,258,886,590,540,2330
비밀침해,0,0,0,0,0,0,0,0,0,0,2,0,3,6
유기,2,0,0,1,0,2,2,0,1,1,4,4,6,27
교통방해,3,3,7,19,14,13,29,12,17,21,90,68,66,468
공무방해,83,112,154,487,279,304,600,118,289,390,1400,1124,1045,4227
도주와 범인 은닉,1,3,4,2,2,1,5,6,10,18,57,30,45,160
위증과 증거인멸,0,0,3,4,1,3,6,3,9,7,73,38,35,232
