country,followup_years,rate_pct,type,period
Austria,1.0,15,Reconviction,2013
Denmark,1.0,51,Reconviction,2013
Estonia,1.0,37,Re-arrest,2013-14
Estonia,1.0,16,Reconviction,2013-14
Estonia,5.0,76,Re-arrest,2011-12
Estonia,5.0,58,Reconviction,2011-12
France,1.0,26,Reconviction,2004
France,5.0,59,Reconviction,2002
France,5.0,58,Reconviction,2004
France,5.0,46,Reimprisonment,2002
Israel,1.0,18,Reimprisonment,2008
Israel,5.0,43,Reimprisonment,2004
Israel,5.0,41,Reimprisonment,2008
Netherlands,1.0,35,Reconviction,2013
New Zealand,1.0,46,Reconviction,2015-16
New Zealand,1.0,26,Reimprisonment,2002-03
New Zealand,1.0,32,Reimprisonment,2015-16
New Zealand,5.0,52,Reimprisonment,2002-03
U.K. (England/Wales),1.0,46,Reconviction,2000
U.K. (England/Wales),1.0,45,Reconviction,2013
U.K. (England/Wales),5.0,72,Reconviction,2000
U.K. (Northern Ireland),1.0,25,Reconviction,2005
U.K. (Scotland),1.0,46,Reconviction,2009-10
United States,1.0,23,Reconviction,2005-10
United States,1.0,17,Reimprisonment,2005-10
United States,5.0,55,Reconviction,2005-10
United States,5.0,45,Reimprisonment,2005-10
